Deel,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
Exit type,Number of exits,Rate vs avg HC,,49,,,,
Voluntary exit,9,0.1836734694,,,,,,
Dismissal,11,0.2244897959,,,,,,
TOTAL,20,0.4081632653,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Tenure at exit (months),,,,,,,,
Exit timing,Voluntary exits,Avg tenure (months),Min,Max,,,,
After probation period,9,2.4,0.2,6.1,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Voluntary exit per Department (After Probation),,,,,,,,
Departamento,Nº bajas voluntarias,Distribution,,,,,,
CS,9,1,,,,,,
Total,9,,,,,,,
,,,,,,,,
,,,,,,,,
Disciplinary dismissal (After Probation,,,,,,,,
Departamento,Nº bajas voluntarias,Distribution,,,,Dismissal during per Department (Before Probation),,
CS,3,1,,,,Departamento,Nº bajas voluntarias,
Total,3,,,,,CS,3,0.375
,,,,,,IT,5,0.625
,,,,,,Total,8,
