NPS = % Promoters - % Detractors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
Category,Nb,%,,,
Promoters ,6,0.3529411765,,,
Passives ,7,0.4117647059,,,
Detractors ,4,0.2352941176,,,
Total,17,1,,,
,,,,,
2025 NPS SCORE,11.76,,,,
,,,,,
,,,,,
Score interpretation,,,,,
"It is a healthy but fragile score. It shows that while the company has a solid technical and human foundation, there are specific systemic issues
 leadership, organization, burnout) preventing it from reaching a ""Great"" status (usually above 30 or 50).",,,,,
,,,,,
,,,,,
,,,,,
Category,N,%,Strengths (What they value most),Weaknesses & Pain Points,Profile & Risk
Promoters ,6,0.3529411765,"Creative freedom, flexible scheduling, highly organized teams,
 and strong support from direct managers.","Mismatch between the role described during the interview process 
and the day-to-day reality.","Brand Ambassadors: Leaving for external growth opportunities
 rather than dissatisfaction."
Passives ,7,0.4117647059,"Human quality of colleagues, autonomy over the product, and
 technical skill development.","Lack of strategic vision, disorganized onboarding, stagnant salaries,
 and manual processes (over-reliance on Excel).","Silent Flight Risk: Comfortable but not ""loyal"" to the company's
 long-term structure."
Detractors ,4,0.2352941176,Stimulating technical challenges and access to cutting-edge technology.,"Leadership gaps, lack of transparency, stress/burnout, and total discrepancy
 between job descriptions and actual tasks.",Active Critics: High risk to the employer brand reputation.
TOTAL / NPS,17,11.76,"Solid Technical Culture: The nature of the work itself is the company's
 strongest talent magnet.","Organizational Structure: Lack of clear processes and operational pressure
 erode long-term satisfaction.","""Pass"" Result: Indicates a positive foundation but with a fragile
 management structure."
,,,,,
,,,,,
,,,,,
Qualitative Analysis (2025 Key Insights),,,,,
"The ""Human Factor"" Sustains the Score: Almost all employees (including detractors) mention that the human team and technical challenges are excellent. This is what prevents the NPS from falling into negative territory.",,,,,
"Leadership Gap: There is a recurring complaint regarding ""new leaders"" or middle management who are perceived as disconnected from the daily workflow, creating a gap between direction and execution.",,,,,
"Expectation Management: Both Promoters and Passives agree that the recruitment process does not always reflect the reality of the position, leading to early disillusionment.",,,,,
"Well-being vs. Productivity: A pattern of stress and lack of work-life balance is detected in the 2025 comments, suggesting that the current workload may not be sustainable for long-term talent retention.",,,,,
