Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,Internal + YouzhuHUI,Deel,Freelance/B2B,Randstad,Other consultancy,Total,,,,
Averange employees/collaborators,722,49,12.47,55.42,12.12,838.89,,,,
Annual employee/collaboratiors exits,130,20,5,27,12,179,,,,
Total turnover rate,0.1800554017,0.40816326530612246,0.40096230954290296,0.4871887405268856,0.9900990099,0.2134,,,,
Retention rate,0.8199445983,0.5918367347,0.5990376905,0.5128112595,0.009900990099,0.7866,,,,
,,,,,,,,,,
,Internal + YouzhuHUI,,Deel,,Freelance /B2B,,Randstad,,Other consultancy firms,
,Employee exit,Rate,Employee exit,Rate,Collaboration ending,Rate,Collaboration ending,Rate,Collaboration ending,Rate
Voluntary exit,38,0.2857142857,9,0.45,0,0,14,0.5185185185,0,0
Disciplinary dismissal,46,0.3458646617,2,0.1,0,0,5,0.1851851852,0,0
Objective dismissal,28,0.2105263158,1,0.05,0,0,3,0.1111111111,0,0
End collaboration (company decision),0,0,0,0,5,1,0,0,8,0.6666666667
End collaboration (collaborator decision),0,0,0,0,0,0,0,0,4,0.3333333333
Unsuccessful probationary period (company decision),17,0.1278195489,8,0.4,0,0,5,0.1851851852,0,0
Unsuccessful completion of the probationary period (employee decision),4,0.03007518797,0,0,0,0,,0,0,0
,133,,20,,5,,27,,12,
