Fecha,Leadtech,Randstad,Deel,Zemsania,Outvise&Capitole&Izertis&Ox,Freelance,B2B,China,TOTAL
2022-03-28,419,18,4,,,1,,,442
2022-04-25,441,17,4,,,2,,,464
2022-05-30,458,61,4,,,1,,,524
2022-06-27,461,63,3,,,1,,,528
2022-07-04,466,60,2,,,1,,,529
2022-07-25,468,80,2,,,1,,,551
2022-08-01,472,84,2,,,1,,,559
2022-08-29,479,82,2,,,1,,,564
2022-09-05,522,44,2,,,1,,,569
2022-09-27,531,58,5,,,1,,,595
2022-10-03,530,58,5,,,1,,,594
2022-10-10,533,57,12,,,1,,,603
2022-10-31,542,49,10,,,1,,,602
2022-11-28,573,8,20,,,1,,,602
2022-12-27,565,0,11,,,1,,,577
2023-01-30,575,0,10,,,1,,,586
2023-03-06,567,0,23,,,1,,,591
2023-03-13,566,0,22,,,1,,,589
2023-03-20,566,0,22,,,1,,,589
2023-03-27,567,0,22,,,1,,,590
2023-04-03,566,0,21,,,1,,,588
2023-04-24,567,0,18,,,1,,,586
2023-05-02,571,0,18,,,1,,,590
2023-05-29,572,0,24,,,1,,,597
2023-06-26,572,0,24,,,1,,,597
2023-07-03,572,0,32,,,1,,,605
2023-07-31,578,0,32,,,1,,,611
2023-08-28,585,3,30,,,1,,,619
2023-09-26,588,13,36,,,1,,,638
2023-10-02,591,13,36,,,1,,,641
2023-10-30,594,10,34,,,1,,,639
2023-11-27,587,10,32,,,1,,,630
2023-12-27,593,7,30,,,1,,,631
2024-01-29,617,0,26,,,1,,,644
2024-02-26,647,5,32,,,1,,,685
2024-03-25,654,24,30,,,1,,,709
2024-04-02,654,31,30,,,1,,,716
2024-04-29,657,25,29,,,2,,,713
2024-05-27,665,24,31,,,2,,,722
2024-06-25,672,17,32,,,2,,,723
2024-07-01,674,14,32,,,2,,,722
2024-07-29,669,13,29,,,3,,,714
2024-08-26,672,12,29,,,3,,,716
2024-09-30,677,5,30,,,3,,,715
2024-10-28,686,0,31,,,4,,,721
2024-11-25,697,12,34,,,5,,,748
2024-12-02,698,12,34,,,5,,,749
2024-12-30,698,10,32,,,5,,,745
2025-01-27,702,11,31,7.0,,4,,,755
2025-02-03,703,17,31,7.0,,4,,,762
2025-03-03,703,20,32,6.0,1.0,6,,,768
2025-03-31,703,24,31,8.0,1.0,5,,4.0,776
2025-04-28,703,54,33,10.0,1.0,8,,4.0,813
2025-05-26,713,82,35,9.0,1.0,10,,4.0,854
2025-06-30,723,76,45,9.0,4.0,10,,5.0,872
2025-07-28,735,70,57,7.0,4.0,14,,4.0,891
2025-08-25,754,73,72,7.0,7.0,13,3.0,4.0,933
2025-09-01,753,88,74,7.0,10.0,14,3.0,4.0,953
2025-09-29,755,81,72,6.0,12.0,15,5.0,5.0,951
2025-10-27,764,70,67,3.0,17.0,15,10.0,5.0,951
2025-11-03,758,68,63,2.0,16.0,11,10.0,5.0,933
2025-12-01,766,61,69,1.0,15.0,11,9.0,5.0,937
2025-12-29,749,52,70,1.0,15.0,11,9.0,5.0,912
2026-01-26,746,50,71,1.0,6.0,11,10.0,5.0,900
